,page,doctorate,len_page,female,male,category,count,nobel_field
15317,Richard Threlkeld Cox,0,1617,False,True,20th-century_physicists,1,Physics
15318,Jean-Antoine Rioux,0,1144,False,True,Microbiologists,1,Physiology or Medicine
15319,Pierre Paul Émile Roux,0,2377,False,True,Microbiologists,1,Physiology or Medicine
15320,H. Richard Crane,0,2949,False,True,20th-century_physicists,1,Physics
15321,Carol Jo Crannell,1,915,True,False,20th-century_physicists,1,Physics
15322,Philippe Sansonetti,0,2012,False,True,Microbiologists,1,Physiology or Medicine
15323,Edmond Sergent,0,1470,False,True,Microbiologists,1,Physiology or Medicine
15324,John David Crawford,1,745,False,True,20th-century_physicists,1,Physics
15325,Morris B. Crawford,0,916,False,True,20th-century_physicists,1,Physics
15326,Rudolf Amann,0,1811,False,True,Microbiologists,1,Physiology or Medicine
15327,Max Auerbach,0,721,False,True,Microbiologists,1,Physiology or Medicine
15328,Edward Creutz,1,4015,False,True,20th-century_physicists,1,Physics
15329,Paul Clemens von Baumgarten,0,1094,False,True,Microbiologists,1,Physiology or Medicine
15330,Albert Crewe,1,2175,False,True,20th-century_physicists,1,Physics
15331,Andreas J. Bäumler,1,801,False,True,Microbiologists,1,Physiology or Medicine
15332,Charles Critchfield,0,3182,False,True,20th-century_physicists,1,Physics
15333,Manfred Bayer,0,1028,False,True,Microbiologists,1,Physiology or Medicine
15334,Nancy Crooker,0,2353,True,False,20th-century_physicists,1,Physics
15335,Carl Benda,0,550,False,True,Microbiologists,1,Physiology or Medicine
15336,James T. Cushing,0,1230,False,True,20th-century_physicists,1,Physics
15337,Ernst Berliner,0,1116,False,True,Microbiologists,1,Physiology or Medicine
15338,Sidney Dancoff,0,1286,False,True,20th-century_physicists,1,Physics
15339,Ernst H. Beutner,0,2126,False,True,Microbiologists,1,Physiology or Medicine
15340,Konrad Dannenberg,0,2253,False,True,20th-century_physicists,1,Physics
15341,Karl K. Darrow,0,1006,False,True,20th-century_physicists,1,Physics
15342,Melanie Blokesch,0,2953,True,False,Microbiologists,1,Physiology or Medicine
15343,Kurt Blome,0,3534,False,True,Microbiologists,1,Physiology or Medicine
15344,Roger Dashen,0,907,False,True,20th-century_physicists,1,Physics
15345,Eckhard Boles,0,1618,False,True,Microbiologists,1,Physiology or Medicine
