,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
251,Bronwyn Curtis,20th-century_economists,28,0,0,0,3288
252,Nicolas Darvas,20th-century_economists,0,127,5,0,4021
253,Achille Dauphin-Meunier,20th-century_economists,0,1,0,0,317
254,Marcello De Cecco,20th-century_economists,0,5,0,0,858
255,Joel Dean (economist),20th-century_economists,0,13,0,1,1594
256,Lorraine Dearden,20th-century_economists,9,0,2,0,1824
257,John Deeble,20th-century_economists,0,12,0,0,1085
258,Giordano Dell'Amore,20th-century_economists,0,18,1,0,1234
259,W. Edwards Deming,20th-century_economists,2,105,8,0,8164
260,Auguste Detœuf,20th-century_economists,0,0,0,0,283
261,John James Deutsch,20th-century_economists,0,6,0,0,943
262,Ely Devons,20th-century_economists,0,22,0,0,1510
263,Mathias Dewatripont,20th-century_economists,0,14,0,0,1497
264,Cellou Dalein Diallo,20th-century_economists,0,38,0,0,2401
265,Ion Dic Dicescu,20th-century_economists,0,27,0,0,2013
266,Ernest Dichter,20th-century_economists,0,43,11,0,4243
267,Walter Erwin Diewert,20th-century_economists,0,12,0,1,852
268,Bojan Dimitrijević (politician),20th-century_economists,0,5,0,0,944
269,Huw Dixon,20th-century_economists,0,17,1,0,2505
270,Peter Dixon (economist),20th-century_economists,0,10,1,0,1741
271,Richard Donchian,20th-century_economists,0,28,1,0,1219
272,Juergen B. Donges,20th-century_economists,0,26,0,1,1877
273,Rudi Dornbusch,20th-century_economists,0,4,0,0,747
274,Christopher Dow,20th-century_economists,0,18,0,0,469
275,Jack Downie,20th-century_economists,0,6,0,0,1123
276,Alioune Dramé,20th-century_economists,0,1,0,0,934
277,David M. Dror,20th-century_economists,0,27,0,0,1647
278,Du Runsheng,20th-century_economists,0,6,0,0,196
279,Léon H. Dupriez,20th-century_economists,0,21,0,0,1860
280,Evan Durbin,20th-century_economists,0,6,0,0,771
281,Sholom Dvolajckij,20th-century_economists,0,3,0,1,1045
282,William G. Dyer,20th-century_economists,15,1,1,1,1429
283,Karen Dynan,20th-century_economists,0,5,0,1,810
284,Jonathan Eaton,20th-century_economists,0,9,0,1,895
285,Shlomo Eckstein,20th-century_economists,0,22,0,0,1646
286,John Edwards (Labour politician),20th-century_economists,0,9,0,0,2165
287,Alfred Eichner,20th-century_economists,0,15,0,0,935
288,Johan Einarsen,20th-century_economists,0,4,0,0,1458
289,Georges Elgozy,20th-century_economists,0,53,0,0,2309
290,Ludwig Elster,20th-century_economists,0,9,0,0,1356
291,Charles Elworthy (scientist),20th-century_economists,0,12,0,0,1147
292,Otmar Emminger,20th-century_economists,0,9,1,0,1895
293,Jose Encarnacion Jr.,20th-century_economists,0,13,1,1,3207
294,Eduardo Engel,20th-century_economists,0,85,4,1,17354
295,Ludwig Erhard,20th-century_economists,0,13,1,0,1487
296,Richard F. Ericson,20th-century_economists,0,17,0,0,1072
297,Eprime Eshag,20th-century_economists,0,23,4,0,2147
298,Walter Eucken,20th-century_economists,0,6,0,1,2021
299,Armin Falk,20th-century_economists,0,8,0,0,882
300,Vladmir Faltsman,20th-century_economists,0,9,0,0,416
301,Lajos Faluvégi,20th-century_economists,0,21,0,0,643
302,Perfecto V. Fernandez,20th-century_economists,0,7,1,1,1099
303,Adam Fforde,20th-century_economists,0,2,1,0,814
304,John Fforde,20th-century_economists,0,14,0,1,1180
305,Ricardo Ffrench-Davis,20th-century_economists,0,15,10,0,4844
306,Oliver Fiechter,20th-century_economists,0,24,0,0,2271
307,Bruno de Finetti,20th-century_economists,0,7,0,0,668
308,Aleksandr Finn-Enotaevsky,20th-century_economists,0,39,0,0,1844
309,Antony Fisher,20th-century_economists,0,26,0,1,1366
310,Dennis A. FitzGerald,20th-century_economists,0,7,0,0,907
311,Tom Fitzgerald (economist),20th-century_economists,0,41,0,0,4416
312,Heiner Flassbeck,20th-century_economists,0,3,0,0,775
313,Marcus Fleming,20th-century_economists,0,9,1,0,434
